"","Cell_Line","Drug","GDSC","CCLE"
"266","OVISE","Erlotinib",0.145772529459688,NA
"267","OVISE","Irinotecan",0.00478837265490642,NA
"268","OVISE","Lapatinib",0.083738318754243,NA
"269","OVISE","Nilotinib",0.00879329439702864,NA
"270","OVISE","Paclitaxel",0,NA
"271","OVISE","Palbociclib",0.01005273465857,NA
"272","OVISE","PD-0325901",0.0256965222001104,NA
"273","OVISE","PLX4720",0.0184448490857768,NA
"274","OVISE","Selumetinib",0.000111537030453357,NA
"275","OVISE","Sorafenib",0.0877696049232614,NA
"276","OVISE","Topotecan",0.070844026060054,NA
"277","OVK18","Crizotinib",0,NA
"278","OVK18","Erlotinib",NA,NA
"279","OVK18","Irinotecan",0.214916928944396,NA
"280","OVK18","Lapatinib",NA,NA
"281","OVK18","Nilotinib",NA,NA
"282","OVK18","Paclitaxel",NA,NA
"283","OVK18","Palbociclib",NA,NA
"284","OVK18","PD-0325901",0.165617202814881,NA
"285","OVK18","PLX4720",0.0368605799572111,NA
"286","OVK18","Selumetinib",0.0408739484670242,NA
"287","OVK18","Sorafenib",NA,NA
"288","OVK18","Topotecan",0.311549047791844,NA
"289","OVKATE","Crizotinib",NA,NA
"290","OVKATE","Erlotinib",0.182847413523017,NA
"291","OVKATE","Irinotecan",0.0708425652195714,NA
"292","OVKATE","Lapatinib",0.0795722295600631,NA
"293","OVKATE","Nilotinib",0.0152410039608167,NA
"294","OVKATE","Paclitaxel",0.000776631127321158,NA
"295","OVKATE","Palbociclib",0.161383886596124,NA
"296","OVKATE","PD-0325901",0.0514930404632274,NA
"297","OVKATE","PLX4720",0.0415055948581235,NA
"298","OVKATE","Selumetinib",NA,NA
"299","OVKATE","Sorafenib",0.0107042723831366,NA
"300","OVKATE","Topotecan",NA,NA
"301","OVTOKO","Crizotinib",0,0.0127357630385109
"302","OVTOKO","Erlotinib",0.0820526104188584,0.105820028525121
"303","OVTOKO","Irinotecan",0.0147521162664373,0.335415856893463
"304","OVTOKO","Lapatinib",0.147129742027595,0.116291408282416
"305","OVTOKO","Nilotinib",0.0195838961507048,0.0182107231675701
"306","OVTOKO","Paclitaxel",0.071255947486418,0.290628105213077
"307","OVTOKO","Palbociclib",0.144597894282232,0.0143148803255043
"308","OVTOKO","PD-0325901",0.0432087371893135,0.0994019170621335
"309","OVTOKO","PLX4720",0.0932771759270399,NA
"310","OVTOKO","Selumetinib",0,0.038983491042687
"311","OVTOKO","Sorafenib",0.033522472868984,0.0684375000000002
"312","OVTOKO","Topotecan",0.175800838211462,0.455669964348751
"313","RMG-I","Crizotinib",NA,NA
"314","RMG-I","Erlotinib",0.225365857533737,NA
"315","RMG-I","Irinotecan",0.0174512724958206,NA
"316","RMG-I","Lapatinib",0.271896835953463,NA
"317","RMG-I","Nilotinib",0.0418423289406615,NA
"318","RMG-I","Paclitaxel",0.0018068822311299,NA
"319","RMG-I","Palbociclib",0.114790739516932,NA
"320","RMG-I","PD-0325901",0.172047492722777,NA
"321","RMG-I","PLX4720",0.058489093342544,NA
"322","RMG-I","Selumetinib",NA,NA
